country,region,year,education,governance,inequality,gdp
Canada,Americas,1996,6.004563766,1.742363691,0.67231947,41880.55
Canada,Americas,1997,5.607326415,1.809832692,0.66883057,43241.242
Canada,Americas,1998,5.493770123,1.877301693,0.66782755,44553.28
Canada,Americas,1999,5.530799866,1.854154874,0.66939065,46464.547
Canada,Americas,2000,5.423319817,1.849078655,0.66581705,48399.305
Canada,Americas,2001,4.953030109,1.854967296,0.66445217,48774.168
Canada,Americas,2002,4.993080139,1.860855937,0.6643969,49695.008
Canada,Americas,2003,4.857221456,1.924679995,0.66190535,50139.785
Canada,Americas,2004,4.785426142,1.900697708,0.66223517,51210.68
Canada,Americas,2005,4.765880108,1.882459402,0.66378194,52356.56
Canada,Americas,2006,4.766200146,1.892113328,0.6590946,53195.78
Canada,Americas,2007,4.766409874,1.75481534,0.66158992,53761.863
Canada,Americas,2008,4.62612009,1.782482386,0.66069433,53711.68
Canada,Americas,2009,4.840579987,1.742083311,0.66047847,51552.42
Canada,Americas,2010,5.356369972,1.777826786,0.66407397,52558.44
Canada,Americas,2011,5.262050152,1.772545457,0.67342922,53681.13
Canada,Americas,2012,4.781245687,1.756970048,0.66460988,54034.805
Canada,Americas,2013,4.589009762,1.780741096,0.6620102,54712.18
Canada,Americas,2014,4.843589783,1.753717661,0.66842395,55723.484
Canada,Americas,2015,4.739379883,1.730935335,0.66253516,55660.867
Canada,Americas,2016,4.816420078,1.744541049,0.67298177,55606.156
Canada,Americas,2017,4.959969997,1.815572977,0.66691795,56612.33
Canada,Americas,2018,4.888979912,1.675133944,0.6749073,57337.492
Canada,Americas,2019,4.772930145,1.697310686,0.68250352,57583.848
Canada,Americas,2020,4.887949944,1.598312855,0.70148316,54092.88
Finland,Europe,1996,6.866109848,1.724996448,0.73122458,38301.51
Finland,Europe,1997,6.368669987,1.845124454,0.73034522,40630.92
Finland,Europe,1998,6.119950056,1.949857116,0.73045216,42733.445
Finland,Europe,1999,5.871230125,1.978756429,0.72941531,44505.71
Finland,Europe,2000,5.711639881,2.029718637,0.72843373,46968.84
Finland,Europe,2001,5.840849876,2.065475844,0.72644126,48099.3
Finland,Europe,2002,6.018650055,2.096402645,0.72501471,48792.49
Finland,Europe,2003,6.168869972,2.194003105,0.7231357,49655.547
Finland,Europe,2004,6.158239841,2.147619724,0.72102347,51494.707
